Medicaid Purchasing Administration ,,,,,,,,
Physician-Related Services/ Professional and Emergent Oral Healthcare Services,,,,,,,,
"Effective January 1, 2011",,,,,,,,
"Fee Schedule Updated March 30, 2012",,,,,,,,
Link to Legend,,,,,,,,
Code Status Indicator,Code,Mod,NFS Maximum Allowable ,FS Maximum Allowable ,PA Required,Global Days,Assist at surgery,Comments
,26442,  ,532.85,532.85,,090,N,
,26445,  ,321.00,321.00,,090,N,
,26449,  ,419.70,419.70,,090,N,
,26450,  ,223.41,223.41,,090,N,
,26455,  ,222.08,222.08,,090,N,
,26460,  ,215.63,215.63,,090,N,
,26471,  ,340.34,340.34,,090,N,
,26474,  ,328.78,328.78,,090,Y,
,26476,  ,321.00,321.00,,090,N,
,26477,  ,321.67,321.67,,090,N,
,26478,  ,347.23,347.23,,090,N,
,26479,  ,345.01,345.01,,090,Y,
,26480,  ,418.37,418.37,,090,N,
,26483,  ,470.83,470.83,,090,Y,
,26485,  ,451.49,451.49,,090,Y,
,26489,  ,499.73,499.73,,090,N,
,26490,  ,438.82,438.82,,090,N,
,26492,  ,490.17,490.17,,090,Y,
,26494,  ,443.93,443.93,,090,Y,
,26496,  ,479.28,479.28,,090,N,
,26497,  ,482.17,482.17,,090,Y,
,26498,  ,642.67,642.67,,090,Y,
,26499,  ,461.05,461.05,,090,Y,
,26500,  ,347.90,347.90,,090,N,
,26502,  ,392.80,392.80,,090,Y,
,26508,  ,347.68,347.68,,090,N,
,26510,  ,331.67,331.67,,090,N,
,26516,  ,390.14,390.14,,090,N,
,26517,  ,460.16,460.16,,090,Y,
,26518,  ,465.72,465.72,,090,Y,
,26520,  ,362.13,362.13,,090,N,
,26525,  ,363.02,363.02,,090,N,
,26530,  ,299.66,299.66,,090,Y,
,26531,  ,349.23,349.23,,090,Y,
,26535,  ,227.19,227.19,,090,N,
,26536,  ,378.13,378.13,,090,N,
,26540,  ,366.57,366.57,,090,N,
,26541,  ,447.93,447.93,,090,Y,
,26542,  ,377.91,377.91,,090,N,
,26545,  ,386.58,386.58,,090,N,
,26546,  ,547.30,547.30,,090,Y,
,26548,  ,425.26,425.26,,090,N,
,26550,  ,867.86,867.86,,090,Y,
,26551,  ,"1,827.97","1,827.97",,090,Y,
,26553,  ,"1,593.22","1,593.22",,090,Y,
,26554,  ,"1,955.80","1,955.80",,090,Y,
,26555,  ,775.83,775.83,,090,Y,
,26556,  ,"1,587.89","1,587.89",,090,Y,
,26560,  ,317.67,317.67,,090,Y,
,26561,  ,505.29,505.29,,090,Y,
,26562,  ,696.02,696.02,,090,Y,
,26565,  ,377.91,377.91,,090,Y,
,26567,  ,379.47,379.47,,090,N,
,26568,  ,499.06,499.06,,090,Y,
,26580,  ,809.84,809.84,,090,Y,
,26587,  ,548.41,548.41,,090,Y,
,26590,  ,733.81,733.81,,090,Y,
,26591,  ,241.20,241.20,,090,N,
,26593,  ,331.23,331.23,,090,N,
,26596,  ,413.92,413.92,,090,Y,
,26600,  ,152.94,142.49,,090,N,
,26605,  ,172.28,157.61,,090,N,
,26607,  ,245.86,245.86,,090,N,
,26608,  ,264.31,264.31,,090,N,
,26615,  ,313.00,313.00,,090,N,
,26641,  ,200.29,183.84,,090,N,
,26645,  ,227.19,209.85,,090,N,
,26650,  ,264.76,264.76,,090,N,
,26665,  ,346.79,346.79,,090,N,
,26670,  ,180.29,163.39,,090,N,
,26675,  ,241.64,223.63,,090,N,
,26676,  ,277.43,277.43,,090,N,
,26685,  ,317.44,317.44,,090,N,
,26686,  ,348.57,348.57,,090,Y,
,26700,  ,172.50,161.61,,090,N,
,26705,  ,221.63,204.07,,090,N,
,26706,  ,241.64,241.64,,090,N,
,26715,  ,312.33,312.33,,090,N,
,26720,  ,104.48,96.26,,090,N,
,26725,  ,183.84,166.06,,090,N,
,26727,  ,260.09,260.09,,090,N,
,26735,  ,325.67,325.67,,090,N,
,26740,  ,120.93,113.82,,090,N,
,26742,  ,201.18,183.40,,090,N,
,26746,  ,404.81,404.81,,090,N,
,26750,  ,97.81,95.81,,090,N,
,26755,  ,169.84,148.72,,090,N,
,26756,  ,230.08,230.08,,090,N,
,26765,  ,268.54,268.54,,090,N,
,26770,  ,147.16,135.38,,090,N,
,26775,  ,206.74,186.51,,090,N,
,26776,  ,244.09,244.09,,090,N,
,26785,  ,293.21,293.21,,090,N,
,26820,  ,438.38,438.38,,090,Y,
,26841,  ,405.70,405.70,,090,N,
,26842,  ,440.38,440.38,,090,Y,
,26843,  ,409.48,409.48,,090,Y,
,26844,  ,456.38,456.38,,090,Y,
,26850,  ,386.14,386.14,,090,N,
,26852,  ,443.27,443.27,,090,Y,
,26860,  ,310.78,310.78,,090,N,
,26861,  ,60.69,60.69,,000,N,
,26862,  ,403.47,403.47,,090,Y,
,26863,  ,135.83,135.83,,000,Y,
,26910,  ,398.36,398.36,,090,N,
,26951,  ,351.90,351.90,,090,N,
,26952,  ,359.90,359.90,,090,N,
,26989,  ,B.R.,B.R.,,090,N,
,26990,  ,348.12,348.12,,090,N,
,26991,  ,388.58,293.44,,090,N,
,26992,  ,544.41,544.41,,090,N,
,27000,  ,248.98,248.98,,090,N,
,27001,  ,303.88,303.88,,090,Y,
,27003,  ,331.00,331.00,,090,Y,
,27005,  ,411.48,411.48,,090,Y,
,27006,  ,416.37,416.37,,090,Y,
,27025,  ,512.85,512.85,,090,N,
,27027,,479.50,479.50,,090,N,
,27030,  ,536.19,536.19,,090,Y,
,27033,  ,555.75,555.75,,090,Y,
,27035,  ,642.22,642.22,,090,Y,
,27036,  ,571.76,571.76,,090,Y,
,27040,  ,190.29,115.37,,010,N,
,27041,  ,389.03,389.03,,090,N,
,27043,,275.65,275.65,,090,N,
,27045,,438.15,438.15,,090,Y,
,27047,  ,278.32,222.97,,090,N,
,27048,  ,333.01,333.01,,090,Y,
,27049,  ,739.59,739.59,,090,Y,
,27050,  ,205.41,205.41,,090,N,
,27052,  ,318.11,318.11,,090,Y,
,27054,  ,385.02,385.02,,090,Y,
,27057,,542.63,542.63,,090,N,
,27059,,"1,073.04","1,073.04",,090,Y,
,27060,  ,242.97,242.97,,090,N,
,27062,  ,253.64,253.64,,090,N,
,27065,  ,283.65,283.65,,090,Y,
,27066,  ,458.38,458.38,,090,Y,
,27067,  ,587.76,587.76,,090,Y,
,27070,  ,481.50,481.50,,090,Y,
,27071,  ,515.29,515.29,,090,Y,
,27075,  ,"1,209.31","1,209.31",,090,Y,
,27076,  ,"1,340.69","1,340.69",,090,Y,
,27077,  ,"1,605.01","1,605.01",,090,Y,
,27078,  ,"1,057.70","1,057.70",,090,Y,
,27080,  ,283.21,283.21,,090,Y,
,27086,  ,135.83,83.36,,010,N,
,27087,  ,358.35,358.35,,090,Y,
,27090,  ,471.28,471.28,,090,Y,
,27091,  ,915.88,915.88,,090,Y,
,27093,  ,108.70,42.01,,000,N,
,27095,  ,131.82,48.46,,000,N,
,27096,  ,102.92,41.57,,000,N,
,27097,  ,378.35,378.35,,090,Y,
,27098,  ,356.79,356.79,,090,Y,
,27100,  ,465.27,465.27,,090,Y,
,27105,  ,489.95,489.95,,090,Y,
,27110,  ,545.30,545.30,,090,Y,
,27111,  ,491.73,491.73,,090,Y,
,27120,  ,737.15,737.15,,090,Y,
,27122,  ,629.33,629.33,,090,Y,
,27125,  ,645.11,645.11,,090,Y,
,27130,  ,827.40,827.40,,090,Y,
,27132,  ,967.01,967.01,,090,Y,
,27134,  ,"1,115.28","1,115.28",,090,Y,
,27137,  ,852.08,852.08,,090,Y,
,27138,  ,886.75,886.75,,090,Y,
,27140,  ,510.62,510.62,,090,Y,
,27146,  ,725.81,725.81,,090,Y,
,27147,  ,840.29,840.29,,090,Y,
,27151,  ,883.64,883.64,,090,Y,
,27156,  ,980.57,980.57,,090,Y,
,27158,  ,793.39,793.39,,090,Y,
,27161,  ,695.58,695.58,,090,Y,
,27165,  ,783.61,783.61,,090,Y,
,27170,  ,675.13,675.13,,090,Y,
,27175,  ,376.80,376.80,,090,N,
,27176,  ,518.40,518.40,,090,Y,
,27177,  ,633.11,633.11,,090,Y,
,27178,  ,515.74,515.74,,090,Y,
,27179,  ,553.53,553.53,,090,Y,
,27181,  ,634.44,634.44,,090,Y,
L,27185,  ,358.79,358.79,,090,N,
,27187,  ,565.75,565.75,,090,Y,
,27193,  ,262.31,264.76,,090,N,
,27194,  ,398.81,398.81,,090,N,
,27200,  ,96.48,98.92,,090,N,
,27202,  ,347.01,347.01,,090,Y,
,27215,  ,385.02,385.02,,090,N,
,27216,  ,568.20,568.20,,090,N,
,27217,  ,537.74,537.74,,090,N,
,27218,  ,734.92,734.92,,090,N,
,27220,  ,295.44,293.21,,090,N,
,27222,  ,556.42,556.42,,090,N,
,27226,  ,594.65,594.65,,090,Y,
,27227,  ,956.78,956.78,,090,Y,
,27228,  ,"1,094.38","1,094.38",,090,Y,
,27230,  ,263.20,260.09,,090,N,
,27232,  ,438.82,438.82,,090,N,
,27235,  ,517.96,517.96,,090,N,
,27236,  ,681.79,681.79,,090,Y,
,27238,  ,254.98,254.98,,090,N,
,27240,  ,544.19,544.19,,090,N,
,27244,  ,701.36,701.36,,090,Y,
,27245,  ,712.03,712.03,,090,Y,
,27246,  ,214.07,214.52,,090,N,
,27248,  ,427.04,427.04,,090,Y,
,27250,  ,126.04,126.04,,000,N,
,27252,  ,430.37,430.37,,090,N,
,27253,  ,537.52,537.52,,090,Y,
,27254,  ,725.14,725.14,,090,Y,
,27256,  ,165.84,139.83,,010,N,
,27257,  ,191.40,191.40,,010,N,
,27258,  ,631.55,631.55,,090,Y,
,27259,  ,886.75,886.75,,090,Y,
,27265,  ,221.63,221.63,,090,N,
,27266,  ,326.34,326.34,,090,N,
,27267,,237.64,237.64,,090,Y,
,27268,,292.77,292.77,,090,Y,
,27269,,698.47,698.47,,090,Y,
,27275,  ,100.04,100.04,,010,N,
,27280,  ,584.87,584.87,,090,Y,
,27282,  ,465.50,465.50,,090,Y,
,27284,  ,898.98,898.98,,090,Y,
,27286,  ,951.44,951.44,,090,Y,
,27290,  ,910.32,910.32,,090,Y,
,27295,  ,726.48,726.48,,090,Y,
,27299,  ,B.R.,B.R.,,090,Y,
,27301,  ,368.57,280.76,,090,N,
,27303,  ,360.35,360.35,,090,Y,
,27305,  ,264.54,264.54,,090,Y,
,27306,  ,213.63,213.63,,090,Y,
,27307,  ,263.20,263.20,,090,N,
,27310,  ,411.70,411.70,,090,Y,
,27323,  ,149.39,101.59,,010,N,
,27324,  ,216.96,216.96,,090,N,
,27325,,301.88,301.88,,090,Y,
,27326,,277.43,277.43,,090,Y,
,27327,  ,240.08,180.95,,090,N,
,27328,  ,325.22,325.22,,090,N,
,27329,  ,593.54,593.54,,090,Y,
,27330,  ,223.86,223.86,,090,N,
,27331,  ,265.43,265.43,,090,Y,
,27332,  ,359.68,359.68,,090,Y,
,27333,  ,326.78,326.78,,090,Y,
,27334,  ,383.91,383.91,,090,Y,
,27335,  ,432.82,432.82,,090,Y,
,27337,,246.31,246.31,,090,Y,
,27339,,442.82,442.82,,090,Y,
,27340,  ,204.29,204.29,,090,N,
,27345,  ,269.87,269.87,,090,Y,
,27347,  ,292.55,292.55,,090,Y,
,27350,  ,366.80,366.80,,090,Y,
,27355,  ,339.45,339.45,,090,Y,
,27356,  ,416.15,416.15,,090,Y,
,27357,  ,459.49,459.49,,090,Y,
,27358,  ,164.72,164.72,,000,Y,
,27360,  ,480.61,480.61,,090,Y,
,27364,,924.32,924.32,,090,Y,
,27365,  ,"1,085.71","1,085.71",,090,Y,
,27370,  ,94.48,31.12,,000,N,
,27372,  ,331.00,227.64,,090,N,
,27380,  ,332.56,332.56,,090,Y,
,27381,  ,452.16,452.16,,090,Y,
,27385,  ,355.68,355.68,,090,Y,
,27386,  ,469.72,469.72,,090,Y,
,27390,  ,247.64,247.64,,090,Y,
,27391,  ,322.34,322.34,,090,N,
,27392,  ,397.25,397.25,,090,Y,
,27393,  ,284.99,284.99,,090,Y,
,27394,  ,367.91,367.91,,090,Y,
,27395,  ,497.29,497.29,,090,Y,
,27396,  ,346.12,346.12,,090,Y,
,27397,  ,515.07,515.07,,090,Y,
,27400,  ,389.25,389.25,,090,Y,
,27403,  ,361.68,361.68,,090,Y,
,27405,  ,381.69,381.69,,090,Y,
,27407,  ,438.60,438.60,,090,Y,
,27409,  ,547.52,547.52,,090,Y,
,27412,  ,943.66,943.66,PA,090,Y,
,27415,  ,778.94,778.94,PA,090,Y,
,27416,,551.08,551.08,PA,090,N,
,27418,  ,472.39,472.39,,090,Y,
,27420,  ,422.59,422.59,,090,Y,
,27422,  ,421.04,421.04,,090,Y,
,27424,  ,422.15,422.15,,090,Y,
,27425,  ,247.86,247.86,,090,N,
,27427,  ,406.14,406.14,,090,Y,
,27428,  ,629.55,629.55,,090,Y,
,27429,  ,706.91,706.91,,090,Y,
,27430,  ,418.59,418.59,,090,Y,
,27435,  ,453.94,453.94,,090,Y,
,27437,  ,372.35,372.35,,090,N,
,27438,  ,477.06,477.06,,090,Y,
,27440,  ,439.49,439.49,,090,Y,
,27441,  ,453.94,453.94,,090,Y,
,27442,  ,493.51,493.51,,090,Y,
,27443,  ,462.16,462.16,,090,Y,
,27445,  ,719.36,719.36,,090,Y,
,27446,  ,635.33,635.33,,090,Y,
,27447,  ,884.98,884.98,,090,Y,
,27448,  ,465.05,465.05,,090,Y,
,27450,  ,579.98,579.98,,090,Y,
,27454,  ,735.15,735.15,,090,Y,
,27455,  ,535.08,535.08,,090,Y,
,27457,  ,550.41,550.41,,090,Y,
,27465,  ,707.14,707.14,,090,Y,
,27466,  ,676.01,676.01,,090,Y,
,27468,  ,764.05,764.05,,090,Y,
,27470,  ,673.57,673.57,,090,Y,
,27472,  ,726.48,726.48,,090,Y,
L,27475,  ,372.57,372.57,,090,N,
L,27477,  ,413.92,413.92,,090,N,
L,27479,  ,489.50,489.50,,090,Y,
L,27485,  ,378.80,378.80,,090,N,
,27486,  ,808.73,808.73,,090,Y,
,27487,  ,"1,017.24","1,017.24",,090,Y,
,27488,  ,686.46,686.46,,090,Y,
,27495,  ,646.23,646.23,,090,Y,
,27496,  ,290.10,290.10,,090,N,
,27497,  ,313.67,313.67,,090,N,
,27498,  ,345.23,345.23,,090,Y,
,27499,  ,378.13,378.13,,090,Y,
,27500,  ,286.54,266.76,,090,N,
,27501,  ,281.43,277.88,,090,N,
,27502,  ,446.60,446.60,,090,N,
,27503,  ,454.83,454.83,,090,N,
,27506,  ,763.60,763.60,,090,Y,
,27507,  ,559.97,559.97,,090,Y,
,27508,  ,290.10,274.10,,090,N,
,27509,  ,362.35,362.35,,090,N,
,27510,  ,394.80,394.80,,090,N,
,27511,  ,581.09,581.09,,090,Y,
,27513,  ,727.59,727.59,,090,Y,
,27514,  ,573.53,573.53,,090,Y,
,27516,  ,274.54,259.42,,090,N,
,27517,  ,384.58,384.58,,090,N,
,27519,  ,522.41,522.41,,090,Y,
,27520,  ,173.17,157.39,,090,N,
,27524,  ,426.59,426.59,,090,Y,
,27530,  ,216.08,201.63,,090,N,
,27532,  ,341.90,323.67,,090,N,
,27535,  ,520.63,520.63,,090,Y,
,27536,  ,679.57,679.57,,090,Y,
,27538,  ,257.87,242.08,,090,N,
,27540,  ,465.27,465.27,,090,Y,
,27550,  ,274.10,255.65,,090,N,
,27552,  ,350.34,350.34,,090,N,
,27556,  ,513.96,513.96,,090,Y,
,27557,  ,615.55,615.55,,090,Y,
,27558,  ,696.91,696.91,,090,Y,
,27560,  ,204.07,187.18,,090,N,
,27562,  ,262.09,262.09,,090,N,
,27566,  ,507.73,507.73,,090,Y,
,27570,  ,83.14,83.14,,010,N,
,27580,  ,824.96,824.96,,090,Y,
,27590,  ,480.83,480.83,,090,Y,
,27591,  ,525.96,525.96,,090,Y,
,27592,  ,406.59,406.59,,090,Y,
,27594,  ,294.77,294.77,,090,N,
,27596,  ,425.70,425.70,,090,N,
,27598,  ,430.82,430.82,,090,Y,
,27599,  ,B.R.,B.R.,,090,Y,
,27600,  ,242.97,242.97,,090,N,
,27601,  ,254.09,254.09,,090,N,
,27602,  ,299.22,299.22,,090,Y,
,27603,  ,294.55,221.63,,090,N,
,27604,  ,257.65,192.51,,090,N,
,27605,  ,198.74,111.82,,010,N,
,27606,  ,166.73,166.73,,010,N,
,27607,  ,349.23,349.23,,090,N,
,27610,  ,371.91,371.91,,090,N,
,27612,  ,322.34,322.34,,090,Y,
,27613,  ,139.83,94.70,,010,N,
,27614,  ,316.33,234.53,,090,N,
,27615,  ,577.31,577.31,,090,N,
,27616,,754.93,754.93,,090,N,
,27618,  ,243.64,183.62,,090,N,
,27619,  ,289.88,289.88,,090,N,
,27620,  ,261.42,261.42,,090,Y,
,27625,  ,334.34,334.34,,090,Y,
,27626,  ,362.57,362.57,,090,Y,
,27630,  ,300.55,209.63,,090,N,
,27632,,243.64,243.64,,090,Y,
,27634,,397.03,397.03,,090,Y,
,27635,  ,336.34,336.34,,090,N,
,27637,  ,428.82,428.82,,090,Y,
,27638,  ,443.93,443.93,,090,Y,
,27640,  ,489.06,489.06,,090,N,
,27641,  ,392.14,392.14,,090,N,
,27645,  ,931.88,931.88,,090,Y,
,27646,  ,802.28,802.28,,090,Y,
,27647,  ,631.78,631.78,,090,Y,
,27648,  ,91.37,30.90,,000,N,
,27650,  ,382.13,382.13,,090,Y,
,27652,  ,412.81,412.81,,090,N,
,27654,  ,409.70,409.70,,090,Y,
,27656,  ,312.55,206.07,,090,Y,
,27658,  ,216.74,216.74,,090,Y,
,27659,  ,281.43,281.43,,090,Y,
,27664,  ,206.74,206.74,,090,N,
,27665,  ,237.42,237.42,,090,Y,
,27675,  ,287.21,287.21,,090,Y,
,27676,  ,354.35,354.35,,090,Y,
,27680,  ,245.86,245.86,,090,N,
,27681,  ,298.55,298.55,,090,N,
,27685,  ,356.12,269.87,,090,Y,
,27686,  ,318.11,318.11,,090,N,
,27687,  ,262.76,262.76,,090,Y,
,27690,  ,364.13,364.13,,090,Y,
,27691,  ,429.04,429.04,,090,Y,
,27692,  ,63.58,63.58,,000,Y,
,27695,  ,279.88,279.88,,090,N,
,27696,  ,329.00,329.00,,090,N,
,27698,  ,373.69,373.69,,090,Y,
,27700,  ,351.68,351.68,,090,Y,
,27702,  ,565.53,565.53,,090,Y,
,27703,  ,656.67,656.67,,090,Y,
,27704,  ,323.89,323.89,,090,N,
,27705,  ,435.93,435.93,,090,Y,
,27707,  ,224.75,224.75,,090,N,
,27709,  ,658.45,658.45,,090,Y,
,27712,  ,627.55,627.55,,090,Y,
,27715,  ,609.55,609.55,,090,Y,
,27720,  ,500.40,500.40,,090,Y,
,27722,  ,500.84,500.84,,090,Y,
,27724,  ,732.48,732.48,,090,Y,
,27725,  ,689.80,689.80,,090,Y,
,27726,,540.19,540.19,,090,N,
,27727,  ,563.98,563.98,,090,Y,
L,27730,  ,328.11,328.11,,090,N,
L,27732,  ,234.75,234.75,,090,N,
L,27734,  ,323.89,323.89,,090,N,
L,27740,  ,382.80,382.80,,090,Y,
L,27742,  ,407.48,407.48,,090,Y,
,27745,  ,429.48,429.48,,090,Y,
,27750,  ,186.07,171.17,,090,N,
,27752,  ,297.22,277.43,,090,N,
,27756,  ,322.34,322.34,,090,Y,
,27758,  ,505.51,505.51,,090,Y,
,27759,  ,571.09,571.09,,090,Y,
,27760,  ,180.29,164.28,,090,N,
,27762,  ,266.32,246.09,,090,N,
,27766,  ,343.68,343.68,,090,N,
,27767,,147.38,148.05,,090,N,
,27768,,232.53,232.53,,090,N,
,27769,,401.47,401.47,,090,N,
,27780,  ,162.06,147.38,,090,N,
,27781,  ,231.86,216.52,,090,N,
,27784,  ,399.25,399.25,,090,N,
,27786,  ,170.50,154.05,,090,N,
,27788,  ,232.75,214.52,,090,N,
,27792,  ,400.81,400.81,,090,N,
,27808,  ,178.73,161.17,,090,N,
,27810,  ,260.76,240.08,,090,N,
,27814,  ,439.49,439.49,,090,Y,
,27816,  ,169.61,153.16,,090,N,
,27818,  ,268.76,245.20,,090,N,
,27822,  ,481.50,481.50,,090,Y,
,27823,  ,547.75,547.75,,090,Y,
,27824,  ,170.28,164.28,,090,N,
,27825,  ,305.22,280.54,,090,N,
,27826,  ,470.39,470.39,,090,Y,
,27827,  ,617.99,617.99,,090,Y,
,27828,  ,741.37,741.37,,090,Y,
,27829,  ,381.02,381.02,,090,Y,
,27830,  ,199.85,187.40,,090,N,
,27831,  ,215.19,215.19,,090,N,
,27832,  ,413.26,413.26,,090,Y,
,27840,  ,200.29,200.29,,090,N,
,27842,  ,274.32,274.32,,090,N,
,27846,  ,419.26,419.26,,090,Y,
,27848,  ,473.28,473.28,,090,Y,
,27860,  ,100.26,100.26,,010,N,
,27870,  ,599.77,599.77,,090,Y,
,27871,  ,394.36,394.36,,090,Y,
,27880,  ,543.52,543.52,,090,Y,
,27881,  ,515.07,515.07,,090,Y,
,27882,  ,365.68,365.68,,090,N,
,27884,  ,339.90,339.90,,090,N,
,27886,  ,388.14,388.14,,090,N,
,27888,  ,404.59,404.59,,090,Y,
,27889,  ,399.03,399.03,,090,N,
,27892,  ,315.67,315.67,,090,N,
,27893,  ,318.11,318.11,,090,N,
,27894,  ,492.84,492.84,,090,Y,
,27899,  ,B.R.,B.R.,,090,N,
,28001,  ,150.27,102.26,,010,N,
,28002,  ,285.21,222.52,,010,N,
,28003,  ,384.80,321.22,,090,N,
,28005,  ,351.01,351.01,,090,N,
,28008,  ,237.64,174.51,,090,N,
,28010,  ,131.60,122.27,,090,N,
,28011,  ,186.51,172.06,,090,N,
,28020,  ,285.21,206.96,,090,N,
,28022,  ,261.65,190.07,,090,N,
,28024,  ,248.09,179.62,,090,N,
,28035,  ,286.77,209.18,,090,N,
,28039,,282.99,201.85,,090,Y,
,28041,,265.20,265.20,,090,N,
,28043,  ,203.85,156.72,,090,N,
,28045,  ,280.10,204.96,,090,N,
,28046,  ,433.26,433.26,,090,N,
,28047,,559.53,559.53,,090,Y,
,28050,  ,247.64,176.51,,090,N,
,28052,  ,235.64,165.17,,090,N,
,28054,  ,213.41,145.61,,090,N,
,28055,,225.86,225.86,,090,N,
,28060,  ,280.99,208.74,,090,N,
,28062,  ,327.23,242.97,,090,N,
,28070,  ,278.10,202.96,,090,N,
,28072,  ,278.10,198.96,,090,N,
,28080,  ,276.99,206.74,,090,N,
,28086,  ,295.88,208.07,,090,Y,
,28088,  ,251.42,172.28,,090,N,
,28090,  ,253.87,180.29,,090,N,
,28092,  ,229.86,158.72,,090,N,
,28100,  ,325.89,235.19,,090,Y,
,28102,  ,303.66,303.66,,090,Y,
,28103,  ,248.98,248.98,,090,Y,
,28104,  ,279.43,203.85,,090,Y,
,28106,  ,265.43,265.43,,090,Y,
,28107,  ,302.11,217.63,,090,Y,
,28108,  ,236.08,168.73,,090,N,
,28110,  ,248.09,168.73,,090,N,
,28111,  ,280.76,197.18,,090,N,
,28112,  ,266.76,184.73,,090,N,
,28113,  ,323.89,246.98,,090,N,
,28114,  ,589.76,480.39,,090,Y,
,28116,  ,415.03,333.23,,090,N,
,28118,  ,321.22,239.86,,090,Y,
,28119,  ,285.66,211.63,,090,N,
,28120,  ,385.91,298.55,,090,N,
,28122,  ,366.57,292.55,,090,Y,
,28124,  ,261.42,195.18,,090,N,
,28126,  ,212.96,146.94,,090,N,
,28130,  ,375.24,375.24,,090,Y,
,28140,  ,345.01,266.54,,090,N,
,28150,  ,236.75,168.06,,090,N,
,28153,  ,221.86,153.83,,090,N,
,28160,  ,227.64,159.61,,090,N,
,28171,  ,502.40,502.40,,090,Y,
,28173,  ,449.05,449.05,,090,N,
,28175,  ,281.43,281.43,,090,N,
,28190,  ,136.05,78.25,,010,N,
,28192,  ,258.53,186.07,,090,N,
,28193,  ,295.88,220.74,,090,N,
,28200,  ,258.09,184.95,,090,N,
,28202,  ,338.56,256.31,,090,Y,
,28208,  ,251.42,179.62,,090,N,
,28210,  ,318.56,241.64,,090,Y,
,28220,  ,245.86,179.40,,090,N,
,28222,  ,282.32,212.07,,090,N,
,28225,  ,215.19,149.39,,090,N,
,28226,  ,252.09,182.29,,090,N,
,28230,  ,235.86,169.61,,090,N,
,28232,  ,210.74,145.61,,090,N,
,28234,  ,220.30,154.50,,090,N,
,28238,  ,374.58,289.88,,090,Y,
,28240,  ,242.97,174.73,,090,N,
,28250,  ,310.78,234.30,,090,Y,
,28260,  ,379.47,302.33,,090,Y,
,28261,  ,540.19,454.60,,090,N,
,28262,  ,770.49,652.23,,090,Y,
,28264,  ,464.16,384.36,,090,Y,
,28270,  ,264.76,195.62,,090,N,
,28272,  ,214.96,151.16,,090,N,
,28280,  ,287.43,210.52,,090,N,
,28285,  ,255.87,187.62,,090,N,
,28286,  ,248.31,178.51,,090,N,
,28288,  ,326.11,249.64,,090,N,
,28289,  ,405.92,320.78,,090,Y,
,28290,  ,315.89,231.64,,090,N,
,28292,  ,434.82,349.23,,090,Y,
,28293,  ,576.65,418.59,,090,Y,
,28294,  ,413.03,314.33,,090,Y,
,28296,  ,400.81,310.11,,090,Y,
,28297,  ,456.83,350.34,,090,Y,
,28298,  ,395.47,298.55,,090,Y,
,28299,  ,504.40,403.47,,090,Y,
,28300,  ,382.13,382.13,,090,Y,
,28302,  ,389.91,389.91,,090,Y,
,28304,  ,439.93,346.12,,090,Y,
,28305,  ,393.03,393.03,,090,Y,
,28306,  ,333.01,236.08,,090,Y,
,28307,  ,402.14,275.87,,090,N,
,28308,  ,301.88,216.74,,090,Y,
,28309,  ,517.29,517.29,,090,N,
,28310,  ,293.88,208.52,,090,N,
,28312,  ,270.98,186.29,,090,N,
,28313,  ,286.32,214.07,,090,N,
,28315,  ,260.31,190.29,,090,N,
,28320,  ,359.90,359.90,,090,Y,
,28322,  ,430.60,335.01,,090,Y,
,28340,  ,334.12,253.87,,090,N,
,28341,  ,385.47,300.77,,090,N,
,28344,  ,254.53,177.40,,090,N,
,28345,  ,306.77,230.08,,090,N,
,28360,  ,567.75,567.75,,090,Y,
,28400,  ,134.94,124.27,,090,N,
,28405,  ,215.41,200.96,,090,N,
,28406,  ,296.10,296.10,,090,N,
,28415,  ,647.78,647.78,,090,Y,
,28420,  ,695.35,695.35,,090,Y,
,28430,  ,126.71,113.15,,090,N,
,28435,  ,182.73,167.84,,090,N,
,28436,  ,242.75,242.75,,090,N,
,28445,  ,613.33,613.33,,090,Y,
,28446,,686.02,686.02,,090,Y,
,28450,  ,116.93,104.93,,090,N,
,28455,  ,162.28,150.27,,090,N,
,28456,  ,161.61,161.61,,090,N,
,28465,  ,351.23,351.23,,090,N,
,28470,  ,115.82,104.48,,090,N,
,28475,  ,144.27,132.27,,090,N,
,28476,  ,190.73,190.73,,090,N,
,28485,  ,304.55,304.55,,090,N,
,28490,  ,76.25,66.69,,090,N,
,28495,  ,95.14,83.58,,090,N,
,28496,  ,230.30,128.27,,090,N,
,28505,  ,369.91,284.10,,090,N,
,28510,  ,65.80,64.47,,090,N,
,28515,  ,86.25,78.92,,090,N,
,28525,  ,312.11,226.30,,090,N,
,28530,  ,62.47,57.35,,090,N,
,28531,  ,217.63,118.04,,090,N,
,28540,  ,111.15,103.15,,090,N,
,28545,  ,143.61,131.38,,090,N,
,28546,  ,271.87,174.95,,090,N,
,28555,  ,483.95,380.58,,090,Y,
,28570,  ,93.37,83.36,,090,N,
,28575,  ,187.84,174.51,,090,N,
,28576,  ,206.74,206.74,,090,N,
,28585,  ,517.51,425.26,,090,Y,
,28600,  ,117.15,104.48,,090,N,
,28605,  ,158.28,146.72,,090,N,
,28606,  ,220.97,220.97,,090,N,
,28615,  ,447.05,447.05,,090,Y,
,28630,  ,82.92,63.36,,010,N,
,28635,  ,96.92,77.36,,010,N,
