productid	productndc	producttypename	proprietaryname	proprietarynamesuffix	nonproprietaryname	dosageformname	routename	startmarketingdate	endmarketingdate	marketingcategoryname	applicationnumber	labelername	substancename	active_numerator_strength	active_ingred_unit	pharm_classes	deaschedule	ndcpackagecode	packagedescription	fmtPackageCode
0078-0424_22e6a4f2-ad8f-446f-99a5-936338dba656	0078-0424	HUMAN PRESCRIPTION DRUG	Ritalin	LA	methylphenidate hydrochloride	CAPSULE, EXTENDED RELEASE	ORAL	20020605	NA	NDA	NDA021284	Novartis Pharmaceuticals Corporation	METHYLPHENIDATE HYDROCHLORIDE	10	mg/1	Central Nervous System Stimulant [EPC],Central Nervous System Stimulation [PE]	CII	0078-0424-05	100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0078-0424-05) 	4-4-2 format
0078-0590_22baa05e-226a-4747-ad99-fe7017f26711	0078-0590	HUMAN PRESCRIPTION DRUG	Zometa		zoledronic acid	INJECTION, SOLUTION, CONCENTRATE	INTRAVENOUS	20010820	NA	NDA	NDA021223	Novartis Pharmaceuticals Corporation	ZOLEDRONIC ACID	4	mg/100mL	Bisphosphonate [EPC],Diphosphonates [Chemical/Ingredient]		0078-0590-61	1 BOTTLE in 1 CARTON (0078-0590-61)  > 100 mL in 1 BOTTLE	4-4-2 format
0093-0199_43bc4abb-7c3a-4272-bea8-39d0b646d648	0093-0199	HUMAN PRESCRIPTION DRUG	Venlafaxine Hydrochloride		Venlafaxine Hydrochloride	TABLET	ORAL	20060804	NA	ANDA	ANDA076690	Teva Pharmaceuticals USA Inc	VENLAFAXINE HYDROCHLORIDE	25	mg/1	Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		0093-0199-01	100 TABLET in 1 BOTTLE (0093-0199-01) 	4-4-2 format
0093-0576_01a12688-5ec3-44cb-92eb-5954f8008b74	0093-0576	HUMAN PRESCRIPTION DRUG	Lovastatin		Lovastatin	TABLET	ORAL	20011217	NA	ANDA	ANDA075551	Teva Pharmaceuticals USA Inc	LOVASTATIN	20	mg/1	HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]		0093-0576-10	1000 TABLET in 1 BOTTLE (0093-0576-10) 	4-4-2 format
0093-7536_b31a895a-4d25-4a29-9f66-9a13c7df1971	0093-7536	HUMAN PRESCRIPTION DRUG	Anastrozole		Anastrozole	TABLET, FILM COATED	ORAL	20100628	NA	ANDA	ANDA078058	Teva Pharmaceuticals USA Inc	ANASTROZOLE	1	mg/1	Aromatase Inhibitor [EPC],Aromatase Inhibitors [MoA]		0093-7536-56	30 TABLET, FILM COATED in 1 BOTTLE (0093-7536-56) 	4-4-2 format
0093-7543_fb3ea59b-e1c1-47e3-8c4c-a1107fff0047	0093-7543	HUMAN PRESCRIPTION DRUG	Duloxetine		Duloxetine	CAPSULE, DELAYED RELEASE	ORAL	20131211	NA	ANDA	ANDA090783	Teva Pharmaceuticals USA Inc	DULOXETINE HYDROCHLORIDE	30	mg/1	Norepinephrine Uptake Inhibitors [MoA],Serotonin and Norepinephrine Reuptake Inhibitor [EPC],Serotonin Uptake Inhibitors [MoA]		0093-7543-98	90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0093-7543-98) 	4-4-2 format
0113-0133_fd481b7e-31a7-4b27-bd46-9d9ee11b669d	0113-0133	HUMAN OTC DRUG	good sense flu and sore throat		acetaminophen,pheniramine maleate, phenylephrine hydrochloride	POWDER, FOR SUSPENSION	ORAL	20110106	NA	OTC MONOGRAPH FINAL	part341	L Perrigo Company	ACETAMINOPHEN; PHENIRAMINE MALEATE; PHENYLEPHRINE HYDROCHLORIDE	650; 20; 10	mg/15000mg; mg/15000mg; mg/15000mg			0113-0133-91	6 PACKET in 1 CARTON (0113-0133-91)  > 15000 mg in 1 PACKET	4-4-2 format
0113-0166_66713de4-9ec2-47f7-9866-5fe311b5e5ea	0113-0166	HUMAN OTC DRUG	good sense ibuprofen	childrens	Ibuprofen	SUSPENSION	ORAL	20020504	NA	ANDA	ANDA074937	L. Perrigo Company	IBUPROFEN	100	mg/5mL			0113-0166-26	1 BOTTLE in 1 CARTON (0113-0166-26)  > 120 mL in 1 BOTTLE	4-4-2 format
0113-0695_6f8aa0fe-5e91-4598-8f30-999824a03a1e	0113-0695	HUMAN OTC DRUG	good sense jock itch		Tolnaftate	SPRAY	TOPICAL	20050615	NA	OTC MONOGRAPH FINAL	part333C	L Perrigo Company	TOLNAFTATE	1	g/100g			0113-0695-90	130 g in 1 CAN (0113-0695-90) 	4-4-2 format
0126-0022_430a6a1e-1089-4626-8965-c0875303b4f2	0126-0022	HUMAN PRESCRIPTION DRUG	PreviDent 5000 Enamel Protect		SODIUM FLUORIDE and POTASSIUM NITRATE	GEL, DENTIFRICE	DENTAL	20110330	NA	UNAPPROVED DRUG OTHER		Colgate Oral Pharmaceuticals, Inc.	POTASSIUM NITRATE; SODIUM FLUORIDE	57.5; 12.7	mg/mL; mg/mL			0126-0022-92	100 mL in 1 BOTTLE (0126-0022-92) 	4-4-2 format
0135-0129_e8d159cd-f0b8-4fe2-8333-1613cb4f3b02	0135-0129	HUMAN OTC DRUG	Aquafresh	Cavity Protection	sodium monofluorophosphate	PASTE	DENTAL	20110128	NA	OTC MONOGRAPH FINAL	part355	GlaxoSmithKline Consumer Healthcare LP	SODIUM MONOFLUOROPHOSPHATE	1.5	mg/g			0135-0129-04	1 TUBE in 1 CARTON (0135-0129-04)  > 232.5 g in 1 TUBE	4-4-2 format
0135-0243_518e8876-a608-4dd3-99fb-ab5ce9ebcb24	0135-0243	HUMAN OTC DRUG	TUMS	Smoothies	calcium carbonate	TABLET, CHEWABLE	ORAL	20100324	NA	OTC MONOGRAPH FINAL	part331	GlaxoSmithKline Consumer Heathcare LP	CALCIUM CARBONATE	750	mg/1			0135-0243-02	60 TABLET, CHEWABLE in 1 BOTTLE (0135-0243-02) 	4-4-2 format
0143-1173_3239be0e-ed8e-4f8d-866d-ad635f1d84c2	0143-1173	HUMAN PRESCRIPTION DRUG	Captopril		Captopril	TABLET	ORAL	19960213	NA	ANDA	ANDA074505	West-Ward Pharmaceutical Corp	CAPTOPRIL	50	mg/1	Angiotensin Converting Enzyme Inhibitor [EPC],Angiotensin-converting Enzyme Inhibitors [MoA]		0143-1173-25	100 TABLET in 1 BOX, UNIT-DOSE (0143-1173-25) 	4-4-2 format
0143-1257_41215fb1-eeae-491d-99b7-766303842823	0143-1257	HUMAN PRESCRIPTION DRUG	Hydrochlorothiazide		Hydrochlorothiazide	TABLET	ORAL	19770201	NA	ANDA	ANDA084878	West-ward Pharmaceutical Corp	HYDROCHLOROTHIAZIDE	50	mg/1	Increased Diuresis [PE],Thiazide Diuretic [EPC],Thiazides [Chemical/Ingredient]		0143-1257-01	100 TABLET in 1 BOTTLE (0143-1257-01) 	4-4-2 format
0143-2125_6c3b6cb9-0270-4ce5-aa51-fc8834f39880	0143-2125	HUMAN PRESCRIPTION DRUG	Chloroquine		Chloroquine Phosphate	TABLET, COATED	ORAL	19990917	NA	ANDA	ANDA083082	West-ward Pharmaceutical Corp	CHLOROQUINE PHOSPHATE	500	mg/1	Antimalarial [EPC]		0143-2125-01	100 TABLET, COATED in 1 BOTTLE, PLASTIC (0143-2125-01) 	4-4-2 format
0143-9721_5e7c4e52-fc49-472e-91bc-44a59e75c20f	0143-9721	HUMAN PRESCRIPTION DRUG	Levofloxacin		Levofloxacin	INJECTION, SOLUTION	INTRAVENOUS	20120131	NA	ANDA	ANDA091375	West-Ward Pharmaceutical Corp	LEVOFLOXACIN	500	mg/100mL			0143-9721-24	24 POUCH in 1 CASE (0143-9721-24)  > 1 BAG in 1 POUCH > 100 mL in 1 BAG	4-4-2 format
0143-9897_b0eabaad-ce4d-45db-8c84-95191f9df009	0143-9897	HUMAN PRESCRIPTION DRUG	Cephalexin		Cephalexin	CAPSULE	ORAL	20060201	NA	ANDA	ANDA065215	West-ward Pharmaceutical Corp	CEPHALEXIN	500	mg/1	Cephalosporin Antibacterial [EPC],Cephalosporins [Chemical/Ingredient]		0143-9897-01	100 CAPSULE in 1 BOTTLE, PLASTIC (0143-9897-01) 	4-4-2 format
0143-9981_910853ad-d8cf-4b3c-8440-17ce438a799b	0143-9981	HUMAN PRESCRIPTION DRUG	Amoxicillin and Clavulanate Potassium		Amoxicillin and Clavulanate Potassium	POWDER, FOR SUSPENSION	ORAL	20071201	NA	ANDA	ANDA065191	West-Ward Pharmaceutical Corp	AMOXICILLIN; CLAVULANIC ACID	200; 28.5	mg/5mL; mg/5mL	Penicillin-class Antibacterial [EPC],Penicillins [Chemical/Ingredient],beta Lactamase Inhibitor [EPC],beta Lactamase Inhibitors [MoA]		0143-9981-75	75 mL in 1 BOTTLE (0143-9981-75) 	4-4-2 format
0168-0035_3378f795-df7c-4de8-96dd-99afa2f5d4b6	0168-0035	HUMAN OTC DRUG	Vitamin A and Vitamin D		Vitamin A and Vitamin D	OINTMENT	TOPICAL	19810101	NA	OTC MONOGRAPH FINAL	part347	E. Fougera & Co. a division of Fougera Pharmaceuticals Inc.	PETROLATUM	929.3	mg/g			0168-0035-01	1 TUBE in 1 CARTON (0168-0035-01)  > 56.7 g in 1 TUBE	4-4-2 format
0168-0133_fbd28591-a9e7-417e-803a-5639b477c542	0168-0133	HUMAN PRESCRIPTION DRUG	Clotrimazole		clotrimazole	CREAM	TOPICAL	20080902	NA	ANDA	ANDA078338	E. FOUGERA & CO., A division of Fougera Pharmaceuticals Inc.	CLOTRIMAZOLE	10	mg/g	Azole Antifungal [EPC],Azoles [Chemical/Ingredient]		0168-0133-30	30 g in 1 TUBE (0168-0133-30) 	4-4-2 format
0169-7501_4e702524-81db-46ab-a3da-27f8153d13cf	0169-7501	HUMAN PRESCRIPTION DRUG	NovoLog		insulin aspart	INJECTION, SOLUTION	INTRAVENOUS; SUBCUTANEOUS	20010827	NA	NDA	NDA020986	Novo Nordisk	INSULIN ASPART	100	[iU]/mL	Insulin [Chemical/Ingredient],Insulin Analog [EPC]		0169-7501-90	1 VIAL, GLASS in 1 CARTON (0169-7501-90)  > 10 mL in 1 VIAL, GLASS	4-4-2 format
0185-0174_401b80f7-8916-4421-be5f-e0647f553c88	0185-0174	HUMAN PRESCRIPTION DRUG	sotalol hydrochloride		sotalol hydrochloride	TABLET	ORAL	20000501	NA	ANDA	ANDA075366	Eon Labs, Inc.	SOTALOL HYDROCHLORIDE	240	mg/1	Antiarrhythmic [EPC]		0185-0174-09	90 TABLET in 1 BOTTLE (0185-0174-09) 	4-4-2 format
0185-0774_b73ef1f0-b0f7-443e-81a3-b6dd20367f3a	0185-0774	HUMAN PRESCRIPTION DRUG	bisoprolol fumarate		bisoprolol fumarate	TABLET, COATED	ORAL	20001116	NA	ANDA	ANDA075643	Eon Labs, Inc.	BISOPROLOL FUMARATE	10	mg/1	Adrenergic beta-Antagonists [MoA],beta-Adrenergic Blocker [EPC]		0185-0774-30	30 TABLET, COATED in 1 BOTTLE (0185-0774-30) 	4-4-2 format
0185-4057_96b55abd-44ff-4402-ab03-16d5b3ff092d	0185-4057	HUMAN PRESCRIPTION DRUG	Phendimetrazine Tartrate		Phendimetrazine Tartrate	TABLET	ORAL	19970819	NA	ANDA	ANDA085588	Eon Labs, Inc.	PHENDIMETRAZINE TARTRATE	35	mg/1	Appetite Suppression [PE],Increased Sympathetic Activity [PE],Sympathomimetic Amine Anorectic [EPC]	CIII	0185-4057-10	1000 TABLET in 1 BOTTLE (0185-4057-10) 	4-4-2 format
0187-0796_31167b47-0d95-475c-95b8-94cb61454b4a	0187-0796	HUMAN PRESCRIPTION DRUG	Cardizem CD		Diltiazem Hydrochloride	CAPSULE, COATED, EXTENDED RELEASE	ORAL	20010411	NA	NDA	NDA020062	Valeant Pharmaceuticals North America LLC	DILTIAZEM HYDROCHLORIDE	180	mg/1	Calcium Channel Antagonists [MoA],Calcium Channel Blocker [EPC]		0187-0796-30	30 CAPSULE, COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0187-0796-30) 	4-4-2 format
0187-5150_06224cd2-c51c-40f5-a6b8-d943d6457924	0187-5150	HUMAN PRESCRIPTION DRUG	Renova		Tretinoin	CREAM	TOPICAL	20000831	NA	NDA	NDA021108	Valeant Pharmaceuticals North America LLC	TRETINOIN	.2	mg/g	Retinoid [EPC],Retinoids [Chemical/Ingredient]		0187-5150-02	1 TUBE in 1 CARTON (0187-5150-02)  > 2 g in 1 TUBE	4-4-2 format
0220-9054_670b8a14-62cb-4451-8ac4-9fa707c8ef7e	0220-9054	HUMAN OTC DRUG	Camilia		MATRICARIA RECUTITA, RHUBARB, PHYTOLACCA AMERICANA ROOT	LIQUID	ORAL	20110715	NA	UNAPPROVED HOMEOPATHIC		Laboratoires Boiron	MATRICARIA RECUTITA; PHYTOLACCA AMERICANA ROOT; RHUBARB	9; 5; 5	[hp_C]/1; [hp_C]/1; [hp_C]/1			0220-9054-09	30 LIQUID in 1 BOX (0220-9054-09) 	4-4-2 format
0228-2497_f804d060-a333-42dd-b0af-5ba7e79e59b0	0228-2497	HUMAN PRESCRIPTION DRUG	Nifedipine		Nifedipine	CAPSULE, LIQUID FILLED	ORAL	19910101	NA	ANDA	ANDA072579	Actavis Elizabeth LLC	NIFEDIPINE	10	mg/1	Calcium Channel Antagonists [MoA],Dihydropyridine Calcium Channel Blocker [EPC],Dihydropyridines [Chemical/Ingredient]		0228-2497-10	100 CAPSULE, LIQUID FILLED in 1 BOTTLE (0228-2497-10) 	4-4-2 format
0228-3504_f4fbafe4-1525-4dd5-995a-320f4a1c8919	0228-3504	HUMAN PRESCRIPTION DRUG	Morphine sulfate		Morphine sulfate	CAPSULE, EXTENDED RELEASE	ORAL	20111111	NA	NDA AUTHORIZED GENERIC	NDA020616	Actavis Elizabeth LLC	MORPHINE SULFATE	50	mg/1	Full Opioid Agonists [MoA],Opioid Agonist [EPC]	CII	0228-3504-11	100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0228-3504-11) 	4-4-2 format
0228-3506_f4fbafe4-1525-4dd5-995a-320f4a1c8919	0228-3506	HUMAN PRESCRIPTION DRUG	Morphine sulfate		Morphine sulfate	CAPSULE, EXTENDED RELEASE	ORAL	20111111	NA	NDA AUTHORIZED GENERIC	NDA020616	Actavis Elizabeth LLC	MORPHINE SULFATE	80	mg/1	Full Opioid Agonists [MoA],Opioid Agonist [EPC]	CII	0228-3506-11	100 CAPSULE, EXTENDED RELEASE in 1 BOTTLE (0228-3506-11) 	4-4-2 format
0228-4025_f218dc4e-0a8e-4670-a0b7-30cee7147587	0228-4025	HUMAN PRESCRIPTION DRUG	Alprazolam		Alprazolam	TABLET, ORALLY DISINTEGRATING	ORAL	20100316	NA	ANDA	ANDA078561	Actavis Elizabeth LLC	ALPRAZOLAM	2	mg/1	Benzodiazepine [EPC],Benzodiazepines [Chemical/Ingredient]	CIV	0228-4025-11	100 TABLET, ORALLY DISINTEGRATING in 1 BOTTLE (0228-4025-11) 	4-4-2 format
0268-0072_816293f6-fbb5-4ef6-b37c-6f2eefabdbd9	0268-0072	HUMAN PRESCRIPTION DRUG	CENTER-AL - ULMUS PUMILA POLLEN		Allergenic Extracts Alum Precipitated	INJECTION, SUSPENSION	SUBCUTANEOUS	19750115	NA	BLA	BLA103753	ALK-Abello, Inc.	ULMUS PUMILA POLLEN	10000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		0268-0072-10	10 mL in 1 VIAL, MULTI-DOSE (0268-0072-10) 	4-4-2 format
0268-1135_ae94f270-516d-4200-801f-3afd0d482d7d	0268-1135	NON-STANDARDIZED ALLERGENIC	POPULUS FREMONTII POLLEN		Cottonwood Fremont	INJECTION, SOLUTION	SUBCUTANEOUS	19650101	NA	BLA	BLA103753	ALK-Abello, Inc.	POPULUS FREMONTII POLLEN	40000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		0268-1135-50	50 mL in 1 VIAL, MULTI-DOSE (0268-1135-50) 	4-4-2 format
0268-1216_ae94f270-516d-4200-801f-3afd0d482d7d	0268-1216	NON-STANDARDIZED ALLERGENIC	SORGHUM HALEPENSE POLLEN		Johnson Grass	INJECTION, SOLUTION	SUBCUTANEOUS	19650101	NA	BLA	BLA103753	ALK-Abello, Inc.	SORGHUM HALEPENSE POLLEN	40000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		0268-1216-10	10 mL in 1 VIAL, MULTI-DOSE (0268-1216-10) 	4-4-2 format
0268-1240_ae94f270-516d-4200-801f-3afd0d482d7d	0268-1240	NON-STANDARDIZED ALLERGENIC	CHENOPODIUM ALBUM POLLEN		Lambs Quarters	INJECTION, SOLUTION	SUBCUTANEOUS	19650101	NA	BLA	BLA103753	ALK-Abello, Inc.	CHENOPODIUM ALBUM POLLEN	40000	[PNU]/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		0268-1240-50	50 mL in 1 VIAL, MULTI-DOSE (0268-1240-50) 	4-4-2 format
0268-1439_ae94f270-516d-4200-801f-3afd0d482d7d	0268-1439	NON-STANDARDIZED ALLERGENIC	AMBROSIA TRIFIDA POLLEN		Ragweed Tall Giant	INJECTION, SOLUTION	SUBCUTANEOUS	19650101	NA	BLA	BLA103753	ALK-Abello, Inc.	AMBROSIA TRIFIDA POLLEN	.1	g/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		0268-1439-10	10 mL in 1 VIAL, MULTI-DOSE (0268-1439-10) 	4-4-2 format
0268-1518_ae94f270-516d-4200-801f-3afd0d482d7d	0268-1518	NON-STANDARDIZED ALLERGENIC	AMARANTHUS TUBERCULATUS POLLEN		Water Hemp	INJECTION, SOLUTION	SUBCUTANEOUS	19650101	NA	BLA	BLA103753	ALK-Abello, Inc.	AMARANTHUS TUBERCULATUS POLLEN	.05	g/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient],Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		0268-1518-50	50 mL in 1 VIAL, MULTI-DOSE (0268-1518-50) 	4-4-2 format
0268-6135_bb0f261e-93dd-41c4-90f8-95a5f603d8c3	0268-6135	NON-STANDARDIZED ALLERGENIC	EGG		Whole Egg	INJECTION, SOLUTION	PERCUTANEOUS	19650101	NA	BLA	BLA103753	ALK-Abello, Inc.	EGG	.01	g/mL	Non-Standardized Food Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Allergens [Chemical/Ingredient],Dietary Proteins [Chemical/Ingredient],Egg Proteins, Dietary [Chemical/Ingredient]		0268-6135-06	5 mL in 1 VIAL, MULTI-DOSE (0268-6135-06) 	4-4-2 format
0268-6630_bb0f261e-93dd-41c4-90f8-95a5f603d8c3	0268-6630	NON-STANDARDIZED ALLERGENIC	JUNIPERUS CALIFORNICA POLLEN		Western Juniper	INJECTION, SOLUTION	PERCUTANEOUS	19650101	NA	BLA	BLA103753	ALK-Abello, Inc.	JUNIPERUS CALIFORNICA POLLEN	.05	g/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		0268-6630-06	5 mL in 1 VIAL, MULTI-DOSE (0268-6630-06) 	4-4-2 format
0268-6671_bb0f261e-93dd-41c4-90f8-95a5f603d8c3	0268-6671	NON-STANDARDIZED ALLERGENIC	LIQUIDAMBAR STYRACIFLUA POLLEN		Sweetgum	INJECTION, SOLUTION	PERCUTANEOUS	19650101	NA	BLA	BLA103753	ALK-Abello, Inc.	LIQUIDAMBAR STYRACIFLUA POLLEN	.05	g/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		0268-6671-06	5 mL in 1 VIAL, MULTI-DOSE (0268-6671-06) 	4-4-2 format
0268-6745_bb0f261e-93dd-41c4-90f8-95a5f603d8c3	0268-6745	NON-STANDARDIZED ALLERGENIC	CASUARINA EQUISETIFOLIA POLLEN		Australian Pine Beefwood	INJECTION, SOLUTION	PERCUTANEOUS	19650101	NA	BLA	BLA103753	ALK-Abello, Inc.	CASUARINA EQUISETIFOLIA POLLEN	.05	g/mL	Non-Standardized Pollen Allergenic Extract [EPC],Increased Histamine Release [PE],Cell-mediated Immunity [PE],Increased IgG Production [PE],Pollen [Chemical/Ingredient],Allergens [Chemical/Ingredient]		0268-6745-06	5 mL in 1 VIAL, MULTI-DOSE (0268-6745-06) 	4-4-2 format
0338-0047_7bab2ad0-3fde-43df-b499-c0e76a09850d	0338-0047	HUMAN PRESCRIPTION DRUG	Sodium Chloride		Sodium Chloride	IRRIGANT	IRRIGATION	19800530	NA	ANDA	ANDA017867	Baxter Healthcare Corporation	SODIUM CHLORIDE	9	g/1000mL			0338-0047-27	3000 mL in 1 BAG (0338-0047-27) 	4-4-2 format
